Player Name,Team,Year,Wickets,Bowling Average,Economy,Salary ($),Value for Money
A Ashish Reddy,SRH,2015,3,16.66,8.33,33000,2.4261829824390992
A Ashish Reddy,SRH,2016,1,39.0,10.17,33000,0.28296761608244186
A Choudhary,RCB,2017,5,28.8,8.55,299000,0.2515222731625252
A Mishra,SRH,2013,21,18.76,6.35,300000,2.1763448723138468
A Mishra,SRH,2014,7,48.57,9.06,791000,0.0744837427031858
A Mishra,DC,2015,9,34.44,7.71,583333,0.21520119501777196
A Mishra,DC,2016,13,26.46,7.47,15000,16.239695710075765
A Mishra,DC,2017,10,34.3,8.83,15000,8.152487717360101
A Mishra,DC,2018,12,22.0,7.13,625000,0.45334126680550246
A Mishra,DC,2019,11,24.54,6.75,625000,0.39352340961203297
A Mishra,DC,2020,3,24.0,7.2,625000,0.10288065843621402
A Mithun,RCB,2013,1,37.0,9.25,260000,0.04162166324328487
A Nehra,CSK,2014,8,17.75,9.46,333000,0.5298982625473875
A Nehra,CSK,2015,22,20.4,7.24,333000,1.6567079242364218
A Nehra,SRH,2016,9,22.11,7.65,825000,0.23887715554160516
A Nehra,SRH,2017,8,24.62,9.3,825000,0.15685605103539063
A Nortje,DC,2020,22,23.27,8.39,28600,14.592662541061221
A Zampa,RPS,2016,12,9.58,6.76,45000,15.250804823097528
A Zampa,RPS,2017,7,23.28,8.21,45000,3.0143635456446045
A Zampa,RCB,2020,2,46.0,8.36,45000,0.4280451776002247
AB Dinda,PWI,2013,16,29.06,9.48,375000,0.5736156655298681
AB Dinda,RCB,2014,5,54.0,8.7,250000,0.15767150718193723
AB Dinda,RPS,2016,11,21.0,7.57,75000,3.417059046003711
AB Dinda,RPS,2017,1,119.0,11.9,75000,0.03487233673425798
AB McDonald,RCB,2013,1,17.0,8.5,100000,0.2563116749967962
AC Gilchrist,KXIP,2013,1,0.0,0.0,900000,0.0
AD Mathews,PWI,2013,5,48.0,7.74,950000,0.05246871605274072
AD Mathews,DC,2015,7,35.14,8.2,1250000,0.07197947145474112
AD Russell,KKR,2014,1,52.0,10.4,100000,0.06848564540872235
AD Russell,KKR,2015,14,23.14,7.96,100000,2.8150612533199633
AD Russell,KKR,2016,15,19.4,7.97,100000,3.5930846056445938
AD Russell,KKR,2018,13,27.3,9.38,1328130,0.14157074451611626
AD Russell,KKR,2019,11,26.09,9.51,1328130,0.12363280942601035
AD Russell,KKR,2020,6,29.16,9.72,1328130,0.05903276358360129
AF Milne,RCB,2016,1,43.0,10.75,116667,0.06867699522626945
AF Milne,RCB,2017,3,44.66,9.57,116667,0.22283263896597386
AJ Finch,PWI,2013,1,49.0,12.25,300000,0.02056756186979706
AJ Tye,GL,2017,12,11.75,6.71,75000,7.516156801123667
AJ Tye,KXIP,2018,24,18.66,8.0,1125000,0.5292895610866316
AJ Tye,KXIP,2019,3,77.66,10.59,1125000,0.012009132092307823
AJ Tye,RR,2020,1,50.0,12.5,142900,0.04146904076925072
AM Nayar,PWI,2013,2,29.5,7.37,675000,0.05047460800709623
AN Ahmed,RCB,2014,3,37.66,7.88,50000,0.7488260653773081
AN Ahmed,RCB,2015,1,128.0,10.66,50000,0.05428740184837747
AR Patel,KXIP,2014,17,23.82,6.13,125000,3.449633149270041
AR Patel,KXIP,2015,13,30.15,8.4,125000,1.5209080991281103
AR Patel,KXIP,2016,13,29.84,8.11,125000,1.5916585339037352
AR Patel,KXIP,2017,15,24.13,7.54,125000,2.442805077956628
AR Patel,KXIP,2018,3,72.66,8.38,1953130,0.009343012450460111
AR Patel,DC,2019,10,36.4,7.13,714300,0.19978582539168638
AR Patel,DC,2020,9,36.33,6.41,714300,0.20038936440232016
AS Rajpoot,KKR,2016,3,32.66,8.9,225000,0.16989037908234908
AS Rajpoot,KKR,2017,4,26.75,7.64,225000,0.3221785066261045
AS Rajpoot,KXIP,2018,11,20.27,8.52,468750,0.5032621826406517
AS Rajpoot,KXIP,2019,3,50.66,9.5,468750,0.049252402401362465
AS Rajpoot,RR,2020,2,99.5,11.7,430000,0.014797516518005272
AS Roy,MI,2019,1,11.0,5.5,31250,1.9589837771655958
Abdul Samad,SRH,2020,1,96.0,13.71,28600,0.09839239112275827
Abhishek Sharma,SRH,2019,1,21.0,10.5,85940,0.19544847793422848
Abhishek Sharma,SRH,2020,2,45.5,9.1,85940,0.20816997649799482
Ankit Sharma,RPS,2016,1,84.0,7.63,15000,0.38524867416668795
Anureet Singh,KXIP,2015,15,31.0,9.0,33000,6.034056213267685
Anureet Singh,RR,2018,1,42.0,10.5,46880,0.17914720769696668
Arshdeep Singh,KXIP,2019,3,36.33,10.9,28600,0.98106901946325
Arshdeep Singh,KXIP,2020,9,24.22,8.77,28600,5.487050787305862
Avesh Khan,DC,2018,4,51.0,10.73,109380,0.24750752653341113
Azhar Mahmood,KXIP,2013,15,22.0,7.52,200000,1.6790242854072648
B Kumar,PWI,2013,13,28.53,6.5,60000,4.327262184488497
B Kumar,SRH,2014,20,17.7,6.65,708000,0.8888696181955665
B Kumar,SRH,2015,18,22.61,7.87,708000,0.5291760601635166
B Kumar,SRH,2016,23,21.3,7.42,708000,0.7612850573324573
B Kumar,SRH,2017,26,14.19,7.05,708000,1.3595801451688776
B Kumar,SRH,2018,9,39.33,7.66,1328130,0.08330775718250048
B Kumar,SRH,2019,13,35.46,7.81,1328130,0.1309028904589614
B Kumar,SRH,2020,3,33.0,6.98,1328130,0.036320142295890305
B Laughlin,RR,2018,9,23.44,10.12,78130,1.7985511816711193
B Lee,KKR,2013,4,21.5,7.16,400000,0.2405939784139083
B Stanlake,RCB,2017,2,35.0,8.75,45000,0.537498950197363
B Stanlake,SRH,2018,5,26.0,8.12,78130,1.1226878914243479
BA Stokes,RPS,2017,12,26.33,7.18,2164000,0.10863879056008252
BA Stokes,RR,2018,8,37.87,8.18,1953130,0.04897184465941471
BA Stokes,RR,2019,6,31.5,11.22,1953130,0.032192368080641805
BA Stokes,RR,2020,2,77.0,10.26,1953130,0.0048006162927272875
BAW Mendis,PWI,2013,2,39.0,6.5,725000,0.04030419591869637
BB Sran,SRH,2016,14,29.5,8.34,180000,1.1708565769272008
BB Sran,KXIP,2018,4,57.25,10.4,180000,0.13823400528883306
BCJ Cutting,RR,2014,1,31.0,7.75,133000,0.11591007812049495
BCJ Cutting,SRH,2016,5,16.0,7.16,75000,2.155321056624595
BCJ Cutting,SRH,2017,1,123.0,9.71,75000,0.041347630930632845
BCJ Cutting,MI,2018,2,84.0,9.88,343750,0.025964938245640005
BCJ Cutting,MI,2019,1,27.0,13.5,343750,0.029559425992896512
BE Hendricks,KXIP,2014,4,31.5,10.5,300000,0.14930526394371196
BE Hendricks,KXIP,2015,5,21.8,8.38,300000,0.33789710681684443
BMAJ Mendis,DC,2013,1,36.0,7.2,725000,0.01970893839774215
BW Hilfenhaus,CSK,2014,8,30.75,8.78,166000,0.6611172648732525
Basil Thampi,SRH,2018,5,22.8,11.21,148440,0.48810677402189206
Basil Thampi,SRH,2020,1,46.0,11.5,148440,0.047166062063783494
C de Grandhomme,RCB,2018,2,64.5,8.6,343750,0.038847704252427534
CH Gayle,RCB,2013,3,13.33,10.0,2000000,0.041677085938151205
CH Gayle,RCB,2016,2,31.5,6.3,1400000,0.026661654275662854
CH Morris,CSK,2013,15,26.73,8.02,625000,0.41464282097267546
CH Morris,RR,2015,13,23.92,7.4,233333,1.165763700703968
CH Morris,DC,2016,13,23.69,7.0,1050000,0.2765204075783183
CH Morris,DC,2017,12,20.0,7.74,1050000,0.2734369659434259
CH Morris,DC,2018,3,47.66,10.21,1718750,0.013285105246077577
CH Morris,DC,2019,13,23.53,9.27,1718750,0.12842962535131774
CH Morris,RCB,2020,11,19.09,6.63,1718750,0.1872823080929163
CJ Anderson,MI,2014,4,46.0,10.22,750000,0.04201711567206901
CJ Anderson,MI,2015,1,33.0,8.25,750000,0.01813873867745922
CJ Anderson,DC,2017,3,62.0,9.87,150000,0.12104793619321191
CJ Anderson,RCB,2018,3,38.33,13.26,150000,0.14574171917777248
CJ Jordan,SRH,2017,1,9.0,9.0,75000,0.6096631611034905
CJ Jordan,KXIP,2020,9,33.77,9.65,428600,0.23865371796793167
CL White,SRH,2013,1,16.0,8.0,1100000,0.02630471380471381
CR Brathwaite,DC,2016,7,27.0,8.15,630000,0.18701323960229768
CR Brathwaite,DC,2017,1,67.0,11.16,630000,0.007862428138586178
CR Brathwaite,SRH,2018,5,18.8,9.24,312500,0.3411350929081426
CR Woakes,KKR,2017,17,22.7,8.77,627000,0.5044198467192056
CR Woakes,RCB,2018,8,23.75,10.36,1156250,0.1041480415591369
CV Varun,KXIP,2019,1,35.0,11.66,1200000,0.007562900644661651
CV Varun,KKR,2020,17,20.94,6.84,1200000,0.36632885801865783
D Wiese,RCB,2015,16,22.06,8.33,466667,0.6910327301251088
DJ Bravo,CSK,2013,32,15.53,7.95,200000,4.799739134178058
DJ Bravo,CSK,2015,26,16.38,8.14,666667,1.0833338750008128
DJ Bravo,GL,2016,17,29.05,8.82,666667,0.36860521667718826
DJ Bravo,CSK,2018,14,38.07,9.96,1000000,0.1367483378532566
DJ Bravo,CSK,2019,11,30.0,8.01,1000000,0.16954115996979088
DJ Bravo,CSK,2020,6,30.0,8.57,1000000,0.08643415877954969
DJ Hooda,RR,2015,1,129.0,8.5,66000,0.05117804175411715
DJ Hooda,SRH,2016,3,32.33,7.46,630000,0.07312609949569568
DJ Hooda,SRH,2017,2,21.0,10.5,630000,0.0533233085513257
DJ Hooda,SRH,2019,1,21.0,10.5,562500,0.02986105278874239
DJ Hussey,CSK,2014,2,19.0,13.41,1400000,0.020766141885495082
DJ Muthuswami,DC,2015,4,25.25,7.21,125000,0.6510128590297773
DJG Sammy,SRH,2013,8,21.0,7.52,425000,0.4414689437634788
DJG Sammy,SRH,2014,3,52.33,11.21,583000,0.03248871904580596
DJM Short,RR,2018,1,19.0,6.33,625000,0.049271854377034394
DL Chahar,RPS,2017,1,74.0,10.57,15000,0.3156736048568278
DL Chahar,CSK,2018,10,27.8,7.28,125000,1.4640302410086588
DL Chahar,CSK,2019,22,21.9,7.47,125000,3.984595012328475
DL Chahar,CSK,2020,12,33.0,7.61,125000,1.4158227036019415
DR Smith,MI,2013,2,29.5,11.8,100000,0.21279538659601863
DR Smith,CSK,2014,4,23.75,9.5,750000,0.08754830546150955
DR Smith,CSK,2015,1,17.0,8.5,750000,0.03417488999957282
DR Smith,GL,2016,8,19.12,8.5,345000,0.5284456339755665
DR Smith,GL,2017,2,74.0,11.38,345000,0.02549606482262299
DS Kulkarni,RR,2014,6,36.83,8.18,183000,0.4030708340048948
DS Kulkarni,RR,2015,13,21.3,7.91,183000,1.561609389014525
DS Kulkarni,GL,2016,18,20.22,7.42,300000,1.481161550586555
DS Kulkarni,GL,2017,3,57.66,9.18,300000,0.0699711346678732
DS Kulkarni,RR,2018,4,47.0,9.47,117190,0.2840258289092567
DS Kulkarni,RR,2019,6,55.83,9.57,117190,0.35490928908464586
DT Christian,RPS,2017,11,27.09,7.45,149000,1.3548068219349063
DT Christian,DC,2018,4,25.25,8.53,234380,0.2934710484584891
DW Steyn,SRH,2013,19,20.21,5.66,1200000,0.512655765597638
DW Steyn,SRH,2014,11,39.18,7.69,1200000,0.11268261149385093
DW Steyn,SRH,2015,3,56.66,8.94,1200000,0.018279409222362642
DW Steyn,RCB,2019,4,17.25,8.62,345000,0.28878907977305596
DW Steyn,RCB,2020,1,133.0,11.4,285700,0.00855006670856097
GB Hogg,KKR,2015,9,16.0,6.85,83333,3.6496496350948906
GB Hogg,KKR,2016,4,35.5,8.87,83333,0.5645822725494496
GC Viljoen,KXIP,2019,7,31.71,9.65,107100,0.7910815388060978
GJ Maxwell,KXIP,2014,1,132.0,12.0,1000000,0.0023381967826412277
GJ Maxwell,KXIP,2015,2,48.5,9.7,1000000,0.0157453659419862
GJ Maxwell,KXIP,2017,7,17.85,6.57,1000000,0.22107044520271607
GJ Maxwell,DC,2018,5,26.4,8.25,1406250,0.0604624622581974
GJ Maxwell,KXIP,2020,3,56.33,8.04,1535700,0.015975531147601144
GS Sandhu,DC,2015,1,82.0,10.25,283333,0.015552541110714094
Gurkeerat Singh,KXIP,2015,3,22.0,7.33,216000,0.318990011274383
Gurkeerat Singh,KXIP,2016,2,15.5,7.75,216000,0.28548222944492274
HF Gurney,KKR,2019,7,34.0,8.81,107100,0.8081462826232694
HH Pandya,MI,2015,1,176.0,10.35,16667,0.12199043580734792
HH Pandya,MI,2016,3,51.0,9.18,16667,1.4239252714767712
HH Pandya,MI,2017,6,35.5,8.19,16667,4.585828362310581
HH Pandya,MI,2018,18,21.16,8.92,1718750,0.2055017440676142
HH Pandya,MI,2019,14,27.85,9.17,1718750,0.11812913535610098
HV Patel,RCB,2014,4,28.25,10.27,66000,0.7736836085292083
HV Patel,RCB,2015,17,19.29,7.48,66000,6.611612562254284
HV Patel,RCB,2016,1,147.0,10.5,66000,0.036356801284994786
HV Patel,RCB,2017,3,14.33,10.75,66000,1.0928458322930807
HV Patel,DC,2018,7,23.85,9.54,31250,3.6462588488923595
HV Patel,DC,2019,2,38.5,9.62,31250,0.6400006400006402
HV Patel,DC,2020,3,44.66,8.93,31250,0.8915327291973237
Harbhajan Singh,MI,2013,24,19.0,6.51,1300000,0.5528019110362066
Harbhajan Singh,MI,2014,14,25.42,6.47,1333333,0.23645353797234922
Harbhajan Singh,MI,2015,18,24.77,7.82,1333333,0.2581293294731124
Harbhajan Singh,MI,2016,9,43.55,8.0,1333333,0.07175661954650278
Harbhajan Singh,MI,2017,8,33.25,6.48,1333333,0.10313853048259154
Harbhajan Singh,CSK,2018,7,38.57,8.48,312500,0.2536522757048046
